DATE_TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,hour,minute,day_of_year,total_ac_power_kw
2020-06-13 10:30:00,28.03033873333333,50.452891,0.864056662,10,30,165,24857.7125
2020-06-13 10:45:00,28.62208571428572,50.49866800000001,0.7403816392857143,10,45,165,23407.5696423
2020-06-13 11:00:00,28.6059632,49.59524293333333,0.8167528573333332,11,0,165,23667.8285709
2020-06-13 11:15:00,29.197790533333333,52.5881082,0.9622691533333332,11,15,165,27388.460715
2020-06-13 11:30:00,29.45011986666667,53.953094466666656,0.8554001073333332,11,30,165,26818.498215
2020-06-13 11:45:00,29.6048524,54.930332333333325,1.0166871813333331,11,45,165,27300.3803574
2020-06-13 12:00:00,29.6144756,54.57635513333332,0.9582277686666664,12,0,165,27843.317856
2020-06-13 12:15:00,29.873128133333328,53.62572206666666,0.8893022273333333,12,15,165,23390.0464287
2020-06-13 12:30:00,29.448215866666665,51.5198242,0.8805713933333333,12,30,165,25436.933929
2020-06-13 12:45:00,29.577811800000003,51.7647218,0.9068482053333332,12,45,165,26291.596429
2020-06-13 13:00:00,30.0071574,52.9624858,0.725001628,13,0,165,21083.9535714
2020-06-13 13:15:00,27.568512066666667,40.19833379999999,0.6002171826666667,13,15,165,19115.5964287
2020-06-13 13:30:00,27.409600500000003,43.26149878571428,0.5372325964285714,13,30,165,16697.9928572
2020-06-13 13:45:00,26.354994666666663,39.2412842,0.597535766,13,45,165,18010.3053569
2020-06-13 14:00:00,26.66739493333333,44.267293333333335,0.8979147206666667,14,0,165,26234.928571
2020-06-13 14:15:00,26.824531933333333,48.231018133333336,0.812712094,14,15,165,23956.2767846
2020-06-13 14:30:00,26.771419266666665,46.43292826666667,0.6269522933333334,14,30,165,18872.2107144
2020-06-13 14:45:00,26.828759866666665,46.3600118,0.7655651646666665,14,45,165,22672.3375011
2020-06-13 15:00:00,27.583284533333337,47.94728993333333,0.7337197726666665,15,0,165,22317.8821413
2020-06-13 15:15:00,28.077185133333334,46.80665106666667,0.7478824706666666,15,15,165,21348.4714275
2020-06-13 15:30:00,28.1128438,46.23971173333333,0.5669934953333333,15,30,165,16370.3642857
2020-06-13 15:45:00,27.57890557142857,40.546388785714285,0.4037250264285714,15,45,165,12491.4357144
2020-06-13 16:00:00,27.66269933333333,40.34541599999999,0.4595029573333333,16,0,165,14540.5160715
2020-06-13 16:15:00,27.509313866666663,37.922645866666656,0.2199188633333333,16,15,165,6426.1053571
2020-06-13 16:30:00,26.81922213333333,33.402895400000006,0.2536736326666666,16,30,165,8098.9142857
2020-06-13 16:45:00,26.540883333333333,32.085792999999995,0.1492018317333333,16,45,165,4521.4874998
2020-06-13 17:00:00,26.300193266666668,29.8108662,0.1145979226666666,17,0,165,3533.3553572
2020-06-13 17:15:00,26.03677973333333,29.186376866666667,0.1254085300666666,17,15,165,3818.4089287
2020-06-13 17:30:00,25.933880733333336,28.44586786666666,0.0888713367333333,17,30,165,2660.9964286
2020-06-13 17:45:00,25.574387666666663,27.23193773333333,0.0694941764,17,45,165,2014.16964287
2020-06-13 18:00:00,25.404423357142857,26.38234157142857,0.0459627706428571,18,0,165,1269.97857144
2020-06-13 18:15:00,25.2186848,25.28525993333333,0.0224368066666666,18,15,165,609.97678569
2020-06-13 18:30:00,24.8120402,23.99075733333333,0.0072804718466666,18,30,165,146.700000001
2020-06-13 18:45:00,24.372711266666663,22.6416768,0.0001250367553333,18,45,165,0.0
2020-06-13 19:00:00,24.117745,21.8455302,0.0,19,0,165,0.0
2020-06-13 19:15:00,24.000767066666665,21.948254400000003,0.0,19,15,165,0.0
2020-06-13 19:30:00,23.96617026666668,22.251898266666664,0.0,19,30,165,0.0
2020-06-13 19:45:00,23.870741666666667,22.224393733333336,0.0,19,45,165,0.0
2020-06-13 20:00:00,23.7636984,21.9795776,0.0,20,0,165,0.0
2020-06-13 20:15:00,23.71126457142857,22.21554785714285,0.0,20,15,165,0.0
2020-06-13 20:30:00,23.6953736,22.675797466666666,0.0,20,30,165,0.0
2020-06-13 20:45:00,23.479001866666664,22.0222046,0.0,20,45,165,0.0
2020-06-13 21:00:00,23.2034668,21.3150636,0.0,21,0,165,0.0
2020-06-13 21:15:00,23.0506512,21.006146266666665,0.0,21,15,165,0.0
2020-06-13 21:30:00,22.873112066666668,20.6070172,0.0,21,30,165,0.0
2020-06-13 21:45:00,22.8499696,20.56525273333333,0.0,21,45,165,0.0
2020-06-13 22:00:00,22.700738533333336,20.3067446,0.0,22,0,165,0.0
2020-06-13 22:15:00,22.5735414,20.2055216,0.0,22,15,165,0.0
2020-06-13 22:30:00,22.44969607142857,20.013902785714283,0.0,22,30,165,0.0
2020-06-13 22:45:00,22.26599313333333,19.82663193333333,0.0,22,45,165,0.0
2020-06-13 23:00:00,22.2271688,19.828367333333336,0.0,23,0,165,0.0
2020-06-13 23:15:00,22.3342062,20.330838933333336,0.0,23,15,165,0.0
2020-06-13 23:30:00,22.237394333333327,20.012465333333328,0.0,23,30,165,0.0
2020-06-13 23:45:00,22.205029333333336,20.459212133333327,0.0,23,45,165,0.0
2020-06-14 00:00:00,22.309425866666672,21.2856466,0.0,0,0,166,0.0
2020-06-14 00:15:00,22.28362820000001,20.812499933333328,0.0,0,15,166,0.0
2020-06-14 00:30:00,22.41726073333333,20.8414306,0.0,0,30,166,0.0
2020-06-14 00:45:00,22.447642785714287,20.77917907142857,0.0,0,45,166,0.0
2020-06-14 01:00:00,22.3396992,20.416589466666668,0.0,1,0,166,0.0
2020-06-14 01:15:00,22.3263162,20.45705973333333,0.0,1,15,166,0.0
2020-06-14 01:30:00,22.5932068,21.25759886666667,0.0,1,30,166,0.0
2020-06-14 01:45:00,22.831146266666664,21.715635266666663,0.0,1,45,166,0.0
2020-06-14 02:00:00,22.801694666666663,21.8035766,0.0,2,0,166,0.0
2020-06-14 02:15:00,22.66150713333333,21.765783666666668,0.0,2,15,166,0.0
2020-06-14 02:30:00,22.49683426666666,21.054260400000004,0.0,2,30,166,0.0
2020-06-14 02:45:00,22.413197866666668,20.7593812,0.0,2,45,166,0.0
2020-06-14 03:00:00,22.301548357142856,20.912530071428574,0.0,3,0,166,0.0
2020-06-14 03:15:00,22.193670666666662,20.3701516,0.0,3,15,166,0.0
2020-06-14 03:30:00,22.1761332,20.17767333333333,0.0,3,30,166,0.0
2020-06-14 03:45:00,22.184255066666665,20.324055933333334,0.0,3,45,166,0.0
2020-06-14 04:00:00,22.235868333333336,20.6231182,0.0,4,0,166,0.0
2020-06-14 04:15:00,22.29215506666667,20.591811133333334,0.0,4,15,166,0.0
2020-06-14 04:30:00,22.25429486666667,20.381935666666667,0.0,4,30,166,0.0
2020-06-14 04:45:00,22.1893432,20.356459600000004,0.0,4,45,166,0.0
2020-06-14 05:00:00,22.2997984,20.906852200000003,0.0,5,0,166,0.0
2020-06-14 05:15:00,22.43938771428571,21.318453142857145,0.0,5,15,166,0.0
2020-06-14 05:30:00,22.441363466666665,21.168267866666667,0.0,5,30,166,0.0
2020-06-14 05:45:00,22.522914733333334,21.450738666666663,0.0005078938726666,5,45,166,0.0
2020-06-14 06:00:00,22.556378266666663,21.5976542,0.0071151917066666,6,0,166,102.885714285
2020-06-14 06:15:00,22.56817026666667,21.94776,0.0241719286666666,6,15,166,681.80178571
2020-06-14 06:30:00,22.65616866666667,22.658846066666666,0.0487669142,6,30,166,1415.70357144
2020-06-14 06:45:00,22.915026866666665,23.98563853333333,0.0770268140666666,6,45,166,2310.9482142
2020-06-14 07:00:00,23.208211133333336,25.60406513333333,0.1471822867333333,7,0,166,4238.5339287
2020-06-14 07:15:00,23.6073304,28.074818866666668,0.2255217446666666,7,15,166,6918.0517858
2020-06-14 07:30:00,23.587081,28.0358926,0.2196392886666666,7,30,166,6915.775
2020-06-14 07:45:00,23.75348328571429,30.263634785714284,0.3072239171428571,7,45,166,9274.9964286
2020-06-14 08:00:00,23.90954793333333,31.63181366666667,0.298065064,8,0,166,9131.7571429
2020-06-14 08:15:00,23.763501066666667,28.384606933333338,0.2447378533333333,8,15,166,7727.117857
2020-06-14 08:30:00,23.90183135714286,29.702830928571423,0.3353547692857142,8,30,166,10717.5285713
2020-06-14 08:45:00,24.130067933333336,33.0580506,0.3819702386666666,8,45,166,11674.7464285
2020-06-14 09:00:00,24.52345993333333,35.5528282,0.4278343173333333,9,0,166,12997.8499999
2020-06-14 09:15:00,25.093788666666665,38.5421514,0.5664324566666666,9,15,166,17473.3892856
2020-06-14 09:30:00,25.808286599999995,41.24847206666666,0.5574083926666665,9,30,166,17301.757142899998
2020-06-14 09:45:00,26.1179402,42.4683164,0.5722872473333334,9,45,166,17687.067857000002
2020-06-14 10:00:00,26.354372285714287,43.27517914285714,0.5856356821428572,10,0,166,18251.4624999
2020-06-14 10:15:00,26.09553013333333,40.98323173333333,0.5289236226666665,10,15,166,16705.044643
2020-06-14 10:30:00,26.36005846666667,38.9274884,0.7195252226666667,10,30,166,22742.3160715
2020-06-14 10:45:00,26.533363733333328,42.528473,0.8330450946666667,10,45,166,24517.432143
2020-06-14 11:00:00,27.081068733333336,47.275213466666656,0.6406613233333333,11,0,166,19578.0464286
2020-06-14 11:15:00,26.948706133333328,43.94926386666666,0.6502135673333332,11,15,166,18606.6125
2020-06-14 11:30:00,26.8470704,46.03145753333334,0.6621523706666665,11,30,166,18894.5803573
2020-06-14 11:45:00,25.92304106666667,38.486489133333336,0.4262345726666666,11,45,166,12405.7303572
2020-06-14 12:00:00,25.21828571428572,37.81592471428572,0.4920235971428571,12,0,166,14550.9910715
2020-06-14 12:15:00,24.93256013333333,36.6068582,0.4727646679999999,12,15,166,13922.9750001
2020-06-14 12:30:00,24.945296133333336,35.61483133333333,0.454945416,12,30,166,13606.7857144
2020-06-14 12:45:00,25.431060866666662,37.15700086666667,0.519268844,12,45,166,15401.6553572
2020-06-14 13:00:00,25.37993566666667,34.78068233333334,0.5761803393333333,13,0,166,17124.8982142
2020-06-14 13:15:00,25.898872933333333,42.364294333333326,0.7343688020000001,13,15,166,21258.801786
2020-06-14 13:30:00,26.6301878,45.9655842,0.7277635133333333,13,30,166,20177.8321427
2020-06-14 13:45:00,27.04890353333333,47.9602314,0.9066149006666668,13,45,166,23086.444643
2020-06-14 14:00:00,27.848915600000005,59.386079333333335,1.2216518466666668,14,0,166,27895.039285
2020-06-14 14:15:00,28.22232285714286,58.59664692857143,0.91048926,14,15,166,23782.435715
2020-06-14 14:30:00,27.5785664,49.444277133333344,0.5639184546666666,14,30,166,17019.6410715
2020-06-14 14:45:00,27.1061442,42.90284833333333,0.4497933986666666,14,45,166,13873.9267856
2020-06-14 15:00:00,26.949993866666667,41.82487593333333,0.5869389626666666,15,0,166,18501.017857
2020-06-14 15:15:00,27.40871386666667,47.941766400000006,0.7094795186666665,15,15,166,21373.7285714
2020-06-14 15:30:00,27.449349066666663,43.6625044,0.4602610826666666,15,30,166,14291.4571427
2020-06-14 15:45:00,27.087241533333334,38.89504786666667,0.4082271193333333,15,45,166,12680.1178572
2020-06-14 16:00:00,27.05220753333333,38.234853066666666,0.4008640346666667,16,0,166,12534.0125001
2020-06-14 16:15:00,26.809796066666664,35.90520226666667,0.2853623193333333,16,15,166,8932.2285716
2020-06-14 16:30:00,26.423555642857146,32.757710357142855,0.1992258571428571,16,30,166,6194.9517856
2020-06-14 16:45:00,26.0342224,30.358787133333337,0.1544666584,16,45,166,4736.2714286
2020-06-14 17:00:00,25.98669446666667,29.146844466666664,0.1235932831333333,17,0,166,3799.5857143
2020-06-14 17:15:00,25.845591266666663,28.6533284,0.1121953106,17,15,166,3585.7749999
2020-06-14 17:30:00,25.6701172,27.996036799999995,0.0712777123333333,17,30,166,2181.10178572
2020-06-14 17:45:00,25.536855066666668,26.63404133333333,0.0428979898,17,45,166,1229.77321427
2020-06-14 18:00:00,25.3053914,25.30308846666667,0.0297671323333333,18,0,166,831.18571429
2020-06-14 18:15:00,25.1361024,24.7232728,0.019033676,18,15,166,531.40357143
2020-06-14 18:30:00,25.052579666666663,24.514713333333333,0.00675433608,18,30,166,134.121428571
2020-06-14 18:45:00,24.892543142857136,24.072802000000003,0.000455513202,18,45,166,0.0
2020-06-14 19:00:00,24.703763866666662,23.564217066666668,0.0,19,0,166,0.0
2020-06-14 19:15:00,24.54298286666667,23.092030733333328,0.0,19,15,166,0.0
2020-06-14 19:30:00,24.398594266666667,22.771372466666666,0.0,19,30,166,0.0
2020-06-14 19:45:00,24.24910893333333,22.757745466666663,0.0,19,45,166,0.0
2020-06-14 20:00:00,24.07510986666667,22.66186726666666,0.0,20,0,166,0.0
2020-06-14 20:15:00,23.94650073333333,22.531148466666668,0.0,20,15,166,0.0
2020-06-14 20:30:00,23.86200773333333,22.4192994,0.0,20,30,166,0.0
2020-06-14 20:45:00,23.8368284,22.6065692,0.0,20,45,166,0.0
2020-06-14 21:00:00,23.87317121428572,23.1115265,0.0,21,0,166,0.0
